父科目Key,父科目名稱,父科目備註,子科目Key,子科目名稱
MEAL,勞-餐飲費,餐飲費不能報營業稅,MEAL_GENERAL,餐飲費
MEAL,勞-餐飲費,餐飲費不能報營業稅,MEAL_OVERTIME,誤餐費
MEAL,勞-餐飲費,餐飲費不能報營業稅,DRINKING_WATER,飲用水
RENTAL,勞-租金類,辦公室租金不能報營業稅及營所稅,VENUE_RENTAL,場地租金
RENTAL,勞-租金類,辦公室租金不能報營業稅及營所稅,OFFICE_RENTAL,辦公室租金
RENTAL,勞-租金類,辦公室租金不能報營業稅及營所稅,OFFICE_EQUIPMENT_RENTAL,辦公室用品租金
RENTAL,勞-租金類,辦公室租金不能報營業稅及營所稅,VEHICLE_RENTAL,車輛租金
TRANSPORTATION,勞-交通費,計程車資未稅=含稅，營業稅=0；路邊停車費不能報營業稅,TRANS_RAIL,高鐵/台鐵/客運/遊覽車
TRANSPORTATION,勞-交通費,計程車資未稅=含稅，營業稅=0；路邊停車費不能報營業稅,TRANS_TAXI,計程車資
TRANSPORTATION,勞-交通費,計程車資未稅=含稅，營業稅=0；路邊停車費不能報營業稅,TRANS_TOLL,過路費
TRANSPORTATION,勞-交通費,計程車資未稅=含稅，營業稅=0；路邊停車費不能報營業稅,TRANS_PARKING,停車費
TRANSPORTATION,勞-交通費,計程車資未稅=含稅，營業稅=0；路邊停車費不能報營業稅,TRANS_FUEL,油資
TRANSPORTATION,勞-交通費,計程車資未稅=含稅，營業稅=0；路邊停車費不能報營業稅,TRANS_FINE,罰單
UTILITY,勞-水電通訊費,水電瓦斯費、電信網路費皆不能報營業稅及營所稅,UTILITY_WATER_ELEC,水電瓦斯費
UTILITY,勞-水電通訊費,水電瓦斯費、電信網路費皆不能報營業稅及營所稅,UTILITY_TELECOM,電信/網路費
ACCOMMODATION,勞-住宿費,,ACCOMMODATION_GENERAL,住宿費
OFFICE_SUPPLY,勞-辦公耗材,,STATIONERY,文具用品
OFFICE_SUPPLY,勞-辦公耗材,,POSTAGE,郵電費
PRODUCTION_SUPPLIES,勞-現場拍攝用品,OCR無法判斷時的預設分類，審核者可再移至正確科目或改為雜費,PRODUCTION_SUPPLIES_GENERAL,現場拍攝用品購買
MISC,勞-雜費,,MISC_GENERAL,雜費
LABOR,勞-勞務費,整案工作人員統一報公司組；單日發通告的助理費用才各組自報,LABOR_GENERAL,勞務費
PERFORMANCE,勞-演出費,,PERF_ACTOR,演出費
PERFORMANCE,勞-演出費,,PERF_EXTRA,臨演演出費
ENTERTAINMENT,勞-交際費,,ENTERTAINMENT_GENERAL,交際費
ART,勞-美術相關,,ART_SCENE_MATERIAL,置景材料耗材費
ART,勞-美術相關,,ART_SET_MATERIAL,陳設材料耗材費
ART,勞-美術相關,,ART_PROP_BUY,美術道具費
ART,勞-美術相關,,ART_PROP_RENTAL,美術道具租金
ART,勞-美術相關,,ART_SCRIPT,劇本費
COSTUME,勞-造型相關,,COSTUME_MAKEUP,造型化妝費
COSTUME,勞-造型相關,,COSTUME_SFX_MAKEUP,特殊化妝費
COSTUME,勞-造型相關,,COSTUME_BUY,服裝費
COSTUME,勞-造型相關,,COSTUME_RENTAL,服裝租金
EQUIPMENT,勞-現場器材,,EQUIP_GRIP,場務器材費
EQUIPMENT,勞-現場器材,,EQUIP_GRIP_LOSS,場務遺失及損壞
EQUIPMENT,勞-現場器材,,EQUIP_LIGHTING,燈光費
EQUIPMENT,勞-現場器材,,EQUIP_LIGHTING_LOSS,燈光遺失及損壞
EQUIPMENT,勞-現場器材,,EQUIP_CAMERA,攝影費
EQUIPMENT,勞-現場器材,,EQUIP_CAMERA_LOSS,攝影遺失及損壞
EQUIPMENT,勞-現場器材,,EQUIP_SOUND,收音器材費
EQUIPMENT,勞-現場器材,,EQUIP_SOUND_LOSS,收音遺失及損壞
EQUIPMENT,勞-現場器材,,EQUIP_DRONE,航拍器材費
EQUIPMENT,勞-現場器材,,EQUIP_DRONE_LOSS,航拍遺失及損壞
POST_PROD,勞-後製相關,,POST_EDITING,剪接製作費
POST_PROD,勞-後製相關,,POST_VFX,特效素材費
POST_PROD,勞-後製相關,,POST_ARCHIVE,檔管物品購置
HR_WELFARE,勞-人事福利,保險費不能報營業稅,HR_WELFARE_GENERAL,職工福利
HR_WELFARE,勞-人事福利,保險費不能報營業稅,HR_INSURANCE,保險費
